"TIV of arms exports from Germany (FRG), 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Pakistan,,,,,,,,,,,,,,,,1,125,3,3,3,3,3,3,3,3,6,6,3,3,74,61,,,,,,,,,,9,8,,,,,,2,,2,,,,,,,4,328
,Peru,,,,,,,,,,,,,,,,,,,,,,21,14,,100,100,,,,,100,100,100,106,5,,,,,13,,,,,,,,,,,24,,,,,,,683
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,2,2,31,4,4,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,54
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,112,,,,,60,,,,,,48,305,126,,,694
,Portugal,,,,,,,,,,,,3,3,2,2,4,149,8,8,8,239,,,,,,29,,9,,21,7,57,,5,,,,,4,44,711,,180,3,,,,,,,,,,,,,1496
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,38,,,,,,,,12,4,,,,,,,,,,62
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,89,89,217
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
,Rwanda,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,2,2,1,2,2,0,,,,,,56,,9,,,,,,,1,1,1,1,1,1,1,1,,135
,Serbia & Mont.,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Singapore,,,,,,,,,,,,,,,,,,,,,,,88,,88,44,44,,,,,,,,,,,,,,228,228,,,,,12,12,24,,,,,,,,,768
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,34
