"TIV of arms exports from USA, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,750,,,,,,,,,,,,,,,,,,,,,,4500
,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
,Netherlands,58,337,272,491,411,183,452,341,279,114,265,237,239,619,723,684,168,114,101,208,281,281,304,,5,39,34,263,399,392,508,667,875,948,800,532,364,639,394,682,280,280,203,77,125,21,90,76,286,287,140,185,228,60,129,97,126,17393
,New Zealand,,,,,,,,,,,4,,12,,,1,237,4,56,,165,5,6,6,6,6,3,,,,,35,,5,5,7,22,,,5,,,10,,,7,7,28,13,22,,45,15,48,33,,3,821
,Nicaragua,,,,3,13,5,1,,6,,1,4,5,6,0,0,2,,,,,5,5,5,,,10,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
,Nicaragua/Contras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,5,14,,,,,,,,,,,,,,,,,,,,28
,Niger,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,Nigeria,,,,,,,,,,,,,,,,,,,,,,4,,4,2,84,84,,,,3,5,6,4,5,92,5,,,,,,4,5,5,2,2,1,,,,,4,11,,,,332
,Nigeria/Biafra,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,14,,,,,,,,,,,,,,,,,,,,,,60
,North Yemen,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,368
